i,d,w
808880,801137,34
808701,802120,97
808450,801310,14
808450,801137,20
808383,801310,26
808383,801185,3
808383,801137,29
808241,802120,73
807789,802120,67
804536,801310,3
803197,804301,10
803197,801350,7
803197,801292,8
34649,802120,9
911812,801310,24
911812,801137,17
815345,802120,4
813849,801310,20
813849,801137,17
807960,801185,13
807839,802120,82
803122,802120,21
804015,801292,89
98400,802120,5
936618,801949,18
936618,800899,5
817167,801310,13
817167,801137,39
812918,802120,7
907759,801292,14
812318,802120,14
810024,801292,6
806816,801310,146
806816,801137,76
804089,802120,11
936827,802120,77
813247,801310,90
813247,801137,63
812307,801185,9
812307,801137,8
811793,801949,3
811793,801185,7
811793,801137,16
810353,801310,57
810353,801137,26
801861,801137,3
815332,802120,3
818820,802028,5
813253,802028,11
813253,801815,41
813253,800899,20
806353,802028,6
805021,804301,26
805021,802315,14
805021,802028,4
805021,801310,131
804689,802028,28
804689,801815,28
801974,801137,3
515785,801815,7
14154,801185,4
815912,801292,13
815515,801292,23
114612,802120,16
909732,801350,4
819171,802028,11
813463,801292,5
812702,801949,4
812702,800899,13
811149,801292,81
809555,804301,48
809555,802028,9
809555,801350,15
809555,801310,16
809555,801137,15
910103,801292,11
816712,801292,19
808187,801310,65
808187,801137,61
809650,804301,68
809650,801350,52
809650,801310,13
809650,801292,6
809650,801137,29
809384,801292,61
537947,801292,4
118792,801292,3
37071,801292,4
912649,804301,16
912649,801350,16
811423,802120,17
811345,802028,3
808235,804301,16
808235,801350,17
805804,801949,4
805804,801815,5
805804,800899,35
804768,801815,6
816171,801292,11
814224,801292,18
814234,801350,26
814234,804301,13
813784,801292,83
812510,801815,11
812272,804301,20
812272,801350,24
816791,801292,20
809140,802315,4
809140,802028,4
809140,801350,21
809140,801310,28
809140,801137,53
805144,801292,7
906481,801949,3
906481,800899,12
818922,801292,16
815806,801137,13
811685,801815,4
810013,801137,26
807580,801310,59
807580,801137,38
805933,801949,5
806974,801310,28
806974,801137,45
804879,801350,3
810434,801815,18
809351,801292,3
816121,801350,3
909392,800899,7
816879,804301,6
816879,801350,52
816860,800899,3
814959,801815,29
813106,801815,8
811600,800899,5
805781,804301,33
805781,801350,52
805781,801310,46
805781,801137,96
27478,801350,6
814909,801815,10
814909,801310,4
814909,801137,8
805548,801137,7
803955,802315,26
803955,802028,3
803955,801310,131
803955,804301,26
803381,801292,38
802558,802120,12
802558,801949,57
802558,801292,6
802558,800899,9
821276,800899,6
818501,801350,41
818120,801350,36
814100,801350,8
807241,801350,4
911172,801137,10
815516,802120,5
808213,802120,117
808076,802120,38
806049,802120,13
801520,804301,5
801520,801350,59
803138,802120,11
138315,802120,7
119914,802120,8
27490,801949,35
804304,804301,6
804304,801350,180
804304,801137,7
803995,802028,16
803995,801815,28
803995,800899,15
809892,801137,24
810951,801350,40
805848,802120,18
20234,802315,8
20234,802028,4
20234,801310,3
20234,801292,4
20234,801137,7
910013,801185,3
820652,801815,20
820652,801137,3
820652,800899,13
813584,801350,19
100012,801350,4
808702,804301,19
808702,801350,33
808702,801310,6
808702,801137,22
809634,801949,14
809634,801815,5
809634,801185,33
811942,801350,3
803869,801310,7
803869,801137,287
807071,801292,3
805622,804301,6
805622,801350,59
805622,801137,35
811349,802120,8
91538,802120,4
815428,801350,3
808389,802120,16
816175,801137,3
813887,801292,15
805302,804301,69
805302,802120,3
805302,802028,25
805302,801350,138
809713,801350,22
808081,804301,28
808081,801350,40
808081,801137,8
156614,801292,16
18714,801310,5
18714,801185,7
18714,801137,26
814583,804301,54
814583,801350,52
809434,804301,15
809434,801350,21
813790,804301,12
813790,801350,30
813142,804301,17
813142,801350,40
811412,804301,19
811412,801350,36
810715,801292,90
808744,801292,96
807832,801292,93
807622,801292,61
806307,801815,24
804463,802315,4
803316,802120,6
803316,801310,16
803316,801137,5
808055,801292,76
805868,804301,19
805868,801350,28
816967,801292,16
816203,801292,13
813960,801292,20
808964,804301,23
808964,802028,14
808964,801350,81
808964,801310,3
314801,801292,23
150355,802120,45
805084,802315,30
805084,801949,68
805084,801185,23
908617,801815,15
908617,801310,5
908617,801137,73
909250,801815,8
813457,801815,6
805702,801185,5
805702,801137,33
804838,801185,10
804838,801137,17
802296,801137,17
116739,801292,53
911917,801815,5
803467,801292,26
803467,802120,11
17471,801292,22
815208,801815,4
812014,802120,11
807251,801949,5
807251,801292,54
816459,801137,4
814321,804301,42
814321,801310,82
814321,801137,20
535011,802120,24
909613,801292,4
263534,802120,20
907602,801310,35
907602,801137,12
813964,802120,3
801657,802315,5
914615,802120,6
909128,802120,9
809852,802120,10
805709,802120,6
805709,801292,14
809721,801815,23
809721,801185,3
809721,800899,11
808156,804301,70
808156,801350,61
