bodyId,type,side,post,nt,group
17814,IN03B080,L,1038,gaba,17814
16152,IN06A057,L,1328,glutamate,16152
16025,AN03B039,L,3772,gaba,15697
41002,IN06A126,L,683,glutamate,30239
22766,IN03B059,L,1301,gaba,22766
20770,IN03B059,L,1346,gaba,12752
16700,AN19B059,L,1094,acetylcholine,19461
12573,IN06A008,L,2889,gaba,12452
12112,IN06A022,L,662,glutamate,12112
11917,IN27X014,R,5144,gaba,11917
11138,IN06A003,L,3556,gaba,11138
16085,IN07B038,L,1805,acetylcholine,14732
162396,IN07B092,L,516,acetylcholine,18680
25770,IN03B066,L,588,gaba,24856
23577,AN06A092,L,1215,gaba,22417
21099,IN12A058,L,928,acetylcholine,21099
33421186597,IN02A026,L,832,glutamate,40030
157963,IN08B093,L,859,acetylcholine,18211
156686,IN06A126,R,616,glutamate,154600
102677,IN07B092,L,607,acetylcholine,18680
42067,IN07B092,L,308,glutamate,18680
28719,IN07B092,L,524,acetylcholine,18680
28106,IN07B094,L,580,acetylcholine,25585
22660,IN08B093,L,743,acetylcholine,18211
21960,IN08B093,L,752,acetylcholine,18211
21644,IN06B076,R,1530,gaba,19606
20143,IN19B066,L,1265,acetylcholine,18435
19026,IN19B066,L,1356,acetylcholine,18435
18786,AN19B061,L,1111,acetylcholine,18786
18499,IN08B093,L,776,acetylcholine,18211
17822,IN19B048,L,1082,acetylcholine,16247
16423,IN16B046,L,715,glutamate,15696
16255,IN19B045,L,1466,acetylcholine,14250
14295,IN11B011,L,2493,gaba,14295
13667,INXXX138,R,2968,acetylcholine,13028
13552,IN08B036,L,584,glutamate,12316
13026,IN19B037,L,2332,acetylcholine,13026
10177,IN19B013,L,1023,acetylcholine,10177
164554,IN06A137,R,538,glutamate,28585
159065,IN07B083,L,657,acetylcholine,23825
152857,IN11A028,L,1920,glutamate,13738
18247,IN06A036,R,964,gaba,18247
14971,IN03B070,L,1234,gaba,14971
14524,IN07B083,L,648,acetylcholine,14524
13678,IN12A043,R,2317,acetylcholine,13377
11344,IN07B019,R,3878,acetylcholine,11344
166420,IN16B089,L,590,glutamate,19321
158132,IN06A116,L,826,glutamate,28684
35564,IN03B072,L,959,glutamate,23894
35511,IN06A128,L,680,glutamate,35511
33631,IN06A137,L,317,glutamate,28585
27092,IN06A097,L,967,gaba,25261
24112,AN19B101,L,978,acetylcholine,24112
23589,IN02A032,L,1128,glutamate,19990
20863,AN19B101,L,978,acetylcholine,20863
20348,IN06A057,L,1188,gaba,20348
14254,IN06A022,L,529,glutamate,14254
158788,IN06A083,L,494,gaba,24328
27966,IN02A061,L,525,glutamate,27966
26372,IN07B100,L,428,acetylcholine,15294
20175,IN03B069,L,1532,glutamate,20175
18514,AN06A041,L,997,gaba,17527
14250,IN19B045,L,1408,acetylcholine,14250
43240,AN19B079,L,1343,acetylcholine,18408
24363,AN19B100,L,990,acetylcholine,24363
23534,AN19B061,L,830,acetylcholine,18367
21503,AN19B079,L,1200,acetylcholine,18408
21240,AN19B076,L,996,acetylcholine,21240
18899,IN16B046,L,846,glutamate,15433
16686,IN16B046,L,740,glutamate,15696
13915,IN08B036,L,426,acetylcholine,12316
13456,IN08B036,L,513,acetylcholine,12316
102678,IN16B093,L,1060,glutamate,22618
23928,IN07B087,L,372,acetylcholine,15656
152548,IN06B047,R,978,glutamate,152548
25241,IN02A040,L,694,glutamate,20691
19157,IN06A044,R,1308,gaba,19157
26819,AN07B085,L,510,acetylcholine,26819
17191,IN12A058,L,1188,acetylcholine,17191
22955,AN07B072,L,547,acetylcholine,22955
13028,INXXX138,L,2950,acetylcholine,13028
168448,IN03B061,L,1779,glutamate,19517
35750,AN19B059,L,1075,acetylcholine,19461
20003,IN11B016,L,1047,gaba,20003
18583,IN03B066,L,1605,glutamate,19226
17148,IN03B066,L,1855,glutamate,14379
17111,IN03B061,L,1760,glutamate,17111
15194,IN07B076,L,901,acetylcholine,13661
159326,IN03B087,L,948,gaba,22809
156274,IN03B062,L,1114,gaba,18729
152815,IN03B060,L,1492,gaba,17704
25173,IN03B072,L,1285,glutamate,16770
25126,AN16B078,L,344,glutamate,19715
20676,IN03B060,L,1241,gaba,16455
19885,AN19B074,L,890,acetylcholine,19885
19559,IN03B062,L,1000,gaba,19559
19441,IN19B069,L,1011,acetylcholine,19441
19039,IN03B063,L,1022,gaba,18931
17527,AN06A041,R,1014,gaba,17527
20519,IN06B077,R,2003,gaba,20519
11563,AN08B010,L,3604,acetylcholine,11563
166261,IN06A137,L,482,glutamate,28585
25692,AN06A092,L,587,gaba,24036
20160,IN03B080,L,836,gaba,18361
16630,IN06A032,L,1177,glutamate,13756
10322,AN07B003,L,8411,acetylcholine,10294
28469,IN06A105,L,536,gaba,26903
13691,AN07B032,L,2198,acetylcholine,12578
172560,IN06B042,R,2332,glutamate,12228
154600,IN06A126,L,725,glutamate,154600
29397,IN11B021,L,642,gaba,29350
28701,IN11B021,L,900,gaba,27575
28038,IN11B022,L,1199,glutamate,24151
25676,IN11B019,L,797,gaba,24895
25478,AN19B063,L,993,acetylcholine,19245
24321,AN19B099,L,833,acetylcholine,24321
23738,AN19B099,L,917,acetylcholine,23738
18677,IN06B055,R,2212,gaba,18677
14584,IN19B105,L,1010,acetylcholine,14584
13779,AN18B025,L,2269,acetylcholine,13779
22019,AN19B093,L,754,acetylcholine,21892
21049,AN19B059,L,1209,acetylcholine,17554
18091,AN19B098,L,985,acetylcholine,16610
194549,IN18B039,L,915,acetylcholine,194549
101436,IN06B077,R,985,glutamate,25142
18188,IN06B047,R,1920,glutamate,152548
10451,AN18B004,R,8908,acetylcholine,10334
24425,IN07B086,L,797,acetylcholine,24425
24056,IN06A100,L,329,gaba,23725
23954,IN11A028,R,1712,glutamate,23954
20839,AN19B098,L,874,acetylcholine,25588
18232,IN12A053,R,1413,acetylcholine,18751
13084,IN19B031,L,3169,acetylcholine,13084
11617,IN11B002,L,5296,gaba,11066
11224,IN17A011,L,3968,acetylcholine,11026
158479,IN06A116,L,917,glutamate,28684
157188,IN06A127,L,729,gaba,28551
68570,IN11B018,L,891,gaba,20821
28238,IN02A061,L,377,glutamate,27966
27560,IN06A116,L,970,glutamate,23482
26231,IN06A116,L,785,glutamate,23482
23482,IN06A116,L,956,glutamate,23482
