bodyId,type,side,post,nt,group
12011,INXXX076,R,1583,acetylcholine,12011
159288,IN06A128,R,706,gaba,35511
154880,IN16B093,R,919,glutamate,21573
102942,IN02A040,R,1081,glutamate,22301
34902,IN12A061,R,1222,glutamate,34902
30487,IN02A049,R,464,glutamate,27950
25247,IN06A086,R,1086,glutamate,23673
22246,IN02A047,R,519,glutamate,22246
22078,IN03B058,R,1553,glutamate,21430
21677,IN06A057,R,1381,glutamate,20348
20726,IN06A057,R,1249,glutamate,16152
20691,IN02A040,R,906,glutamate,20691
17855,IN06A086,R,1120,gaba,17855
17801,IN06A042,R,1334,glutamate,16826
17058,IN06A042,R,1216,glutamate,17535
16122,IN11A031,R,1686,glutamate,16122
15697,AN03B039,R,4056,glutamate,15697
14590,IN11B012,R,4449,gaba,14590
13612,IN07B033,R,3573,acetylcholine,13290
10823,AN04A001,R,6595,acetylcholine,10823
40030,IN02A026,R,1739,glutamate,40030
26710,IN12A050,R,1395,glutamate,17273
23265,IN12A058,R,1174,acetylcholine,21099
22191,IN12A050,R,1616,glutamate,17273
19851,IN16B099,R,845,glutamate,19036
19386,IN08B070,R,320,acetylcholine,18063
18573,IN06B074,L,518,gaba,18559
17273,IN12A050,R,1545,glutamate,17273
16263,IN18B039,R,2750,acetylcholine,16263
12216,IN01A017,L,5185,acetylcholine,11681
169911,IN03B072,R,1308,glutamate,16770
154996,IN06A116,R,1086,glutamate,23482
103483,IN06A126,R,528,glutamate,30239
102708,IN06A126,R,658,glutamate,30239
29817,IN06A116,R,846,glutamate,23482
28585,IN06A137,R,413,glutamate,28585
28551,IN06A127,R,759,glutamate,28551
28267,IN11B022,R,1119,gaba,28267
26304,IN06A116,R,1020,glutamate,23482
23771,IN03B066,R,1418,glutamate,19226
23164,IN11B018,R,889,gaba,20821
21620,IN03B072,R,1392,glutamate,16770
20993,IN03B072,R,1390,glutamate,16770
20376,IN06A124,R,733,glutamate,17638
17535,IN06A042,R,953,glutamate,17535
16783,IN06B017,L,1959,gaba,14345
16155,IN06A022,R,812,glutamate,14254
12228,IN06B042,L,2844,glutamate,12228
159085,IN07B096,R,539,acetylcholine,25379
100784,IN06A108,R,644,gaba,23860
27665,IN11A037,R,1723,glutamate,27665
27244,IN07B086,R,817,glutamate,27244
27203,IN16B099,R,275,glutamate,27042
25192,IN11A031,R,2188,glutamate,25192
19915,IN03B069,R,1570,glutamate,14182
19454,IN03B069,R,1612,glutamate,19454
15449,IN07B086,R,579,glutamate,15449
15132,IN18B020,R,3277,acetylcholine,14479
14026,DNut059,R,1517,gaba,13496
